"Date","Movie ID (prop69)","Page Views","Unique Visitors"
"October 02, 2021","217110",5,5
"October 02, 2021","217131",2,1
"October 02, 2021","217233",2,1
"October 02, 2021","217333",1,1
"October 02, 2021","217381",1,1
"October 02, 2021","217389",4,1
"October 02, 2021","217395",4,1
"October 02, 2021","217420",1,1
"October 02, 2021","217551",11,1
"October 02, 2021","217552",1,1
"October 02, 2021","217694",2,2
"October 02, 2021","217728",2,1
"October 02, 2021","217742",2,1
"October 02, 2021","217934",2,1
"October 02, 2021","217935",2,1
"October 02, 2021","218080",2,1
"October 02, 2021","218141",2,1
"October 02, 2021","218146",1,1
"October 02, 2021","218189",1,1
"October 02, 2021","218192",1,1
"October 02, 2021","218198",2,1
"October 02, 2021","218443",2,1
"October 02, 2021","218563",1,1
"October 02, 2021","218576",4,1
"October 02, 2021","218659",7,3
"October 02, 2021","218682",2,1
"October 02, 2021","218727",2,1
"October 02, 2021","218843",2,1
"October 02, 2021","219052",2,1
"October 02, 2021","219053",1,1
"October 02, 2021","219167",1,1
"October 02, 2021","219232",2,2
"October 02, 2021","219234",3,1
"October 02, 2021","219235",23,16
"October 02, 2021","219277",1,1
"October 02, 2021","219279",1,1
"October 02, 2021","219381",90,56
"October 02, 2021","219390",4,2
"October 02, 2021","219412",101,64
"October 02, 2021","219414",4,1
"October 02, 2021","219442",2,1
"October 02, 2021","219514",44,23
"October 02, 2021","219521",4,3
"October 02, 2021","219576",3,1
"October 02, 2021","219625",50,19
"October 02, 2021","219662",2,1
"October 02, 2021","219677",100,54
"October 02, 2021","219730",1,1
"October 02, 2021","219742",6,2
"October 02, 2021","219762",15,7
"October 02, 2021","219778",6,2
"October 02, 2021","2198",1,1
"October 02, 2021","219909",2,1
"October 02, 2021","219916",11,7
"October 02, 2021","219935",2,2
"October 02, 2021","219964",2,1
"October 02, 2021","220232",1,1
"October 02, 2021","220343",2,1
"October 02, 2021","220344",7,2
"October 02, 2021","220357",3,2
"October 02, 2021","22048",5,1
"October 02, 2021","220521",6,2
"October 02, 2021","220575",1,1
"October 02, 2021","220599",23741,3989
"October 02, 2021","220646",1,1
"October 02, 2021","220811",4,2
"October 02, 2021","220812",2,1
"October 02, 2021","220843",46,22
"October 02, 2021","220926",5,2
"October 02, 2021","220927",8,2
"October 02, 2021","220928",2,1
"October 02, 2021","221008",2,1
"October 02, 2021","221261",3,2
"October 02, 2021","221440",43,4
"October 02, 2021","221513",2,1
"October 02, 2021","221546",2,1
"October 02, 2021","221798",3,1
"October 02, 2021","221823",2402,618
"October 02, 2021","221894",27,18
"October 02, 2021","221931",2,1
"October 02, 2021","221936",89,36
"October 02, 2021","221940",2,1
"October 02, 2021","221946",4664,1024
"October 02, 2021","222019",61,32
"October 02, 2021","222125",4,3
"October 02, 2021","222173",4,1
"October 02, 2021","222176",8,7
"October 02, 2021","222258",2,2
"October 02, 2021","222276",1,1
"October 02, 2021","222283",18,9
"October 02, 2021","222326",12,7
"October 02, 2021","222375",2,1
"October 02, 2021","222389",11,7
"October 02, 2021","222455",6,2
"October 02, 2021","222655",9,4
"October 02, 2021","222666",8,4
"October 02, 2021","222672",1562,472
"October 02, 2021","222673",1,1
"October 02, 2021","222681",3,1
"October 02, 2021","222689",7,1
"October 02, 2021","222715",7,2
"October 02, 2021","222755",1,1
"October 02, 2021","222774",33534,17955
"October 02, 2021","222775",7,1
"October 02, 2021","222777",4,1
"October 02, 2021","2228",7,3
"October 02, 2021","222800",37,17
"October 02, 2021","222806",566,75
"October 02, 2021","222841",1,1
"October 02, 2021","222879",2,1
"October 02, 2021","222914",1,1
"October 02, 2021","222967",3,1
"October 02, 2021","222988",94,45
"October 02, 2021","222994",2,1
"October 02, 2021","222995",6,2
"October 02, 2021","222997",19223,17697
"October 02, 2021","222998",11,4
"October 02, 2021","222999",7,7
"October 02, 2021","223002",21,10
"October 02, 2021","223003",1,1
"October 02, 2021","223021",76,47
"October 02, 2021","223024",2,1
"October 02, 2021","223028",6,2
"October 02, 2021","223048",2,1
"October 02, 2021","223074",2,1
"October 02, 2021","223122",2,1
"October 02, 2021","223159",4,1
"October 02, 2021","223272",8,1
"October 02, 2021","223330",21,8
"October 02, 2021","223338",7,1
"October 02, 2021","223364",1,1
"October 02, 2021","223365",4192,915
"October 02, 2021","223367",33,13
"October 02, 2021","223437",2,2
"October 02, 2021","223438",29,15
"October 02, 2021","223450",7,1
"October 02, 2021","223476",5,3
"October 02, 2021","223487",21,9
"October 02, 2021","223503",4,2
"October 02, 2021","223591",2,1
"October 02, 2021","223594",1,1
"October 02, 2021","223598",2,1
"October 02, 2021","223626",11,7
"October 02, 2021","223688",3,1
"October 02, 2021","223699",116,41
"October 02, 2021","223807",1,1
"October 02, 2021","223846",7,4
"October 02, 2021","223874",225,81
"October 02, 2021","223932",4,2
"October 02, 2021","223933",5,1
"October 02, 2021","223934",5,1
"October 02, 2021","223935",7,1
"October 02, 2021","223968",1,1
"October 02, 2021","223969",5,1
"October 02, 2021","223977",1,1
"October 02, 2021","223983",12,4
"October 02, 2021","223985",2,1
"October 02, 2021","223996",1,1
"October 02, 2021","224005",18,3
"October 02, 2021","224007",6,1
"October 02, 2021","224016",223,95
"October 02, 2021","224031",38,7
"October 02, 2021","224100",2,1
"October 02, 2021","224101",28,10
"October 02, 2021","224102",495,146
"October 02, 2021","224124",29,15
"October 02, 2021","224125",16,11
"October 02, 2021","224127",19,7
"October 02, 2021","224129",40,11
"October 02, 2021","224193",2078,671
"October 02, 2021","224237",1,1
"October 02, 2021","224240",93,37
"October 02, 2021","224241",3,1
"October 02, 2021","224250",2,1
"October 02, 2021","224268",49,11
"October 02, 2021","224271",1,1
"October 02, 2021","224275",1,1
"October 02, 2021","224278",1,1
"October 02, 2021","224287",3,2
"October 02, 2021","224333",1678,315
"October 02, 2021","224360",5,2
"October 02, 2021","224377",1,1
"October 02, 2021","224381",2,1
"October 02, 2021","224382",70,18
"October 02, 2021","224387",6,3
"October 02, 2021","224442",2,1
"October 02, 2021","224455",3,1
"October 02, 2021","224456",5842,1638
"October 02, 2021","224458",1,1
"October 02, 2021","224474",3,1
"October 02, 2021","224486",100,36
"October 02, 2021","224515",26,11
"October 02, 2021","224527",4,2
"October 02, 2021","224531",2,1
"October 02, 2021","224543",6,2
"October 02, 2021","224546",2,1
"October 02, 2021","224570",2,1
"October 02, 2021","224575",61,21
"October 02, 2021","224576",105,43
"October 02, 2021","224577",842,302
"October 02, 2021","224593",1344,494
"October 02, 2021","224602",11,4
"October 02, 2021","224623",12,8
"October 02, 2021","224645",2,1
"October 02, 2021","224646",3,2
"October 02, 2021","224687",5,1
"October 02, 2021","224689",1,1
"October 02, 2021","224690",10,15
"October 02, 2021","224691",7,6
"October 02, 2021","224692",30,23
"October 02, 2021","224693",26,1
"October 02, 2021","224699",1,1
"October 02, 2021","224708",1,1
"October 02, 2021","224725",2,1
"October 02, 2021","224741",7498,1919
"October 02, 2021","224744",1382,473
"October 02, 2021","224756",2,2
"October 02, 2021","224761",3,2
"October 02, 2021","224769",188,95
"October 02, 2021","224771",5656,1486
"October 02, 2021","224778",43,14
"October 02, 2021","224782",2,1
"October 02, 2021","224801",1,1
"October 02, 2021","224804",6559,1121
"October 02, 2021","224810",522,180
"October 02, 2021","224829",3,1
